country,happiness_score,continent,year,rank,field,field_value,,,,,,,,,,,,
Finland,7.804,Europe,2023,1,Economy,1.888,,,,,,,,,,,,
Denmark,7.586,Europe,2023,2,Economy,1.949,,,,,,,,,,,,
Iceland,7.530,Europe,2023,3,Economy,1.926,,,,,,,,,,,,
Israel,7.473,Asia,2023,4,Economy,1.833,,,,,,,,,,,,
Netherlands,7.403,Europe,2023,5,Economy,1.942,,,,,,,,,,,,
Sweden,7.395,Europe,2023,6,Economy,1.921,,,,,,,,,,,,
Norway,7.315,Europe,2023,7,Economy,1.994,,,,,,,,,,,,
Switzerland,7.240,Europe,2023,8,Economy,2.022,,,,,,,,,,,,
Luxembourg,7.228,Europe,2023,9,Economy,2.200,,,,,,,,,,,,
New Zealand,7.123,Australia,2023,10,Economy,1.842,,,,,,,,,,,,
Finland,7.821,Europe,2022,1,Economy,1.892,,,,,,,,,,,,
Denmark,7.636,Europe,2022,2,Economy,1.953,,,,,,,,,,,,
Iceland,7.557,Europe,2022,3,Economy,1.936,,,,,,,,,,,,
Switzerland,7.512,Europe,2022,4,Economy,2.026,,,,,,,,,,,,
Netherlands,7.415,Europe,2022,5,Economy,1.945,,,,,,,,,,,,
Luxembourg,7.404,Europe,2022,6,Economy,2.209,,,,,,,,,,,,
Sweden,7.384,Europe,2022,7,Economy,1.920,,,,,,,,,,,,
Norway,7.365,Europe,2022,8,Economy,1.997,,,,,,,,,,,,
Israel,7.364,Asia,2022,9,Economy,1.826,,,,,,,,,,,,
New Zealand,7.200,Australia,2022,10,Economy,1.852,,,,,,,,,,,,
Finland,7.842,Europe,2021,1,Economy,1.446,,,,,,,,,,,,
Denmark,7.620,Europe,2021,2,Economy,1.502,,,,,,,,,,,,
Switzerland,7.571,Europe,2021,3,Economy,1.566,,,,,,,,,,,,
Iceland,7.554,Europe,2021,4,Economy,1.482,,,,,,,,,,,,
Netherlands,7.464,Europe,2021,5,Economy,1.501,,,,,,,,,,,,
Norway,7.392,Europe,2021,6,Economy,1.543,,,,,,,,,,,,
Sweden,7.363,Europe,2021,7,Economy,1.478,,,,,,,,,,,,
Luxembourg,7.324,Europe,2021,8,Economy,1.751,,,,,,,,,,,,
New Zealand,7.277,Australia,2021,9,Economy,1.400,,,,,,,,,,,,
Austria,7.268,Europe,2021,10,Economy,1.492,,,,,,,,,,,,
Finland,7.804,Europe,2023,1,Family,1.585,,,,,,,,,,,,
Denmark,7.586,Europe,2023,2,Family,1.548,,,,,,,,,,,,
Iceland,7.530,Europe,2023,3,Family,1.620,,,,,,,,,,,,
Israel,7.473,Asia,2023,4,Family,1.521,,,,,,,,,,,,
Netherlands,7.403,Europe,2023,5,Family,1.488,,,,,,,,,,,,
Sweden,7.395,Europe,2023,6,Family,1.510,,,,,,,,,,,,
Norway,7.315,Europe,2023,7,Family,1.521,,,,,,,,,,,,
Switzerland,7.240,Europe,2023,8,Family,1.463,,,,,,,,,,,,
Luxembourg,7.228,Europe,2023,9,Family,1.357,,,,,,,,,,,,
New Zealand,7.123,Australia,2023,10,Family,1.544,,,,,,,,,,,,
Finland,7.821,Europe,2022,1,Family,1.258,,,,,,,,,,,,
Denmark,7.636,Europe,2022,2,Family,1.243,,,,,,,,,,,,
Iceland,7.557,Europe,2022,3,Family,1.320,,,,,,,,,,,,
Switzerland,7.512,Europe,2022,4,Family,1.226,,,,,,,,,,,,
Netherlands,7.415,Europe,2022,5,Family,1.206,,,,,,,,,,,,
Luxembourg,7.404,Europe,2022,6,Family,1.155,,,,,,,,,,,,
Sweden,7.384,Europe,2022,7,Family,1.204,,,,,,,,,,,,
Norway,7.365,Europe,2022,8,Family,1.239,,,,,,,,,,,,
Israel,7.364,Asia,2022,9,Family,1.221,,,,,,,,,,,,
New Zealand,7.200,Australia,2022,10,Family,1.235,,,,,,,,,,,,
Finland,7.842,Europe,2021,1,Family,1.106,,,,,,,,,,,,
